sep=,
0, ebeamEnergyBC2
1, ebeamDumpCharge
2, ebeamPkCurrBC1
3, ebeamL3Energy
4, ebeamXTCAVPhase
5, ebeamLTU250
6, ebeamLTU450
7, ebeamPhotonEnergy
8, AMO:R14:IOC:10:VHS5:CH3:CurrentMeasure
9, AMO:R14:IOC:21:VHS7:CH0:VoltageMeasure
10, ebeamUndPosY
11, AMO:R14:IOC:21:VHS7:CH1:CurrentMeasure
12, AMO:R14:IOC:21:VHS6:CH2:VoltageMeasure
13, AMO:R14:IOC:21:VHS2:CH3:VoltageMeasure
14, AMO:R14:IOC:21:VHS10:CH0:CurrentMeasure
15, AMO:R14:IOC:21:VHS8:CH3:CurrentMeasure
16, ebeamLTUPosY
17, AMO:R14:IOC:21:VHS8:CH2:CurrentMeasure
18, AMO:R14:IOC:21:VHS8:CH2:VoltageMeasure
19, AMO:R14:IOC:21:VHS6:CH3:CurrentMeasure
20, ebeamLTUAngX
21, AMO:R14:IOC:21:VHS2:CH0:VoltageMeasure
22, SIOC:SYS0:ML00:AO627
23, AMO:R14:IOC:21:VHS6:CH1:CurrentMeasure
24, AMO:R14:IOC:21:VHS7:CH3:VoltageMeasure
25, f_64_ENRC
26, HVCH:FEE1:241:VoltageMeasure
27, f_12_ENRC
28, AMO:R14:IOC:21:VHS8:CH1:CurrentMeasure
29, ebeamEnergyBC1
30, AMO:R14:IOC:21:VHS8:CH3:VoltageMeasure
31, GATT:FEE1:310:R_ACT
32, AMO:R14:IOC:21:VHS2:CH0:CurrentMeasure
33, ebeamUndAngY
34, FBCK:FB04:LG01:DL2VERNIER
35, AMO:LMP:VG:21:PRESS
36, AMO:R14:IOC:21:VHS7:CH2:CurrentMeasure
37, AMO:R14:IOC:21:VHS2:CH1:CurrentMeasure
38, ebeamCharge
39, HVCH:FEE1:242:VoltageMeasure
40, AMO:R14:IOC:21:VHS2:CH1:VoltageMeasure
41, AMO:R14:IOC:10:VHS0:CH1:VoltageMeasure
42, AMO:LMP:GCC:11:PRESS
43, AMO:R14:IOC:21:VHS2:CH2:VoltageMeasure
44, AMO:R14:IOC:21:VHS6:CH0:VoltageMeasure
45, AMO:R14:IOC:21:VHS8:CH0:CurrentMeasure
46, AMO:R14:IOC:10:VHS0:CH3:VoltageMeasure
47, f_21_ENRC
48, AMO:R14:IOC:10:VHS0:CH2:VoltageMeasure
49, AMO:R14:IOC:21:VHS6:CH0:CurrentMeasure
50, AMO:R14:IOC:21:VHS6:CH2:CurrentMeasure
51, f_22_ENRC
52, AMO:R14:IOC:21:VHS7:CH1:VoltageMeasure
53, AMO:R14:IOC:21:VHS8:CH1:VoltageMeasure
54, f_11_ENRC
55, ebeamXTCAVAmpl
56, AMO:R14:IOC:21:VHS2:CH2:CurrentMeasure
57, AMO:R14:IOC:21:VHS8:CH0:VoltageMeasure
58, HVCH:FEE1:361:VoltageMeasure
59, AMO:R14:IOC:10:VHS3:CH3:CurrentMeasure
60, FOIL:LI24:807:LVPOS
61, AMO:R16:RMO:TEMP
62, AMO:R14:IOC:21:VHS6:CH3:VoltageMeasure
63, AMO:R14:IOC:21:VHS7:CH2:VoltageMeasure
64, AMO:R14:RMO:TEMP
65, HVCH:FEE1:362:VoltageMeasure
66, AMO:R14:IOC:21:VHS7:CH3:CurrentMeasure
67, AMO:KBO:GCC:01:PRESS
68, f_63_ENRC
69, AMO:R14:IOC:21:VHS0:CH3:VoltageMeasure
70, ebeamLTUAngY
71, ebeamLTUPosX
72, XTCAV_Foil2_Readback
73, AMO:R14:IOC:21:VHS0:CH0:VoltageMeasure
74, AMO:R14:IOC:21:VHS9:CH1:VoltageMeasure
75, ebeamUndAngX
76, AMO:LMP:VG:31:PRESS
77, AMO:LMP:GCC:10:PRESS
78, AMO:LMP:VG:02:PRESS
79, ebeamPkCurrBC2
80, AMO:R14:IOC:21:VHS9:CH1:CurrentMeasure
81, AMO:R14:IOC:21:VHS6:CH1:VoltageMeasure
82, AMO:R14:IOC:21:VHS10:CH1:CurrentMeasure
83, AMO:R14:IOC:21:VHS1:CH3:VoltageMeasure
84, AMO:R14:IOC:21:VHS4:CH2:CurrentMeasure
85, AMO:R14:IOC:21:VHS0:CH1:VoltageMeasure
86, LAS:FS1:VIT:PIEZO_AMP_MON
87, AMO:R14:IOC:10:VHS2:CH0:CurrentMeasure
88, AMO:R14:IOC:10:VHS0:CH1:CurrentMeasure
89, AMO:R14:IOC:21:VHS9:CH0:CurrentMeasure
90, AMO:R14:IOC:21:VHS2:CH3:CurrentMeasure
91, AMO:R14:IOC:21:VHS7:CH0:CurrentMeasure
92, AMO:R14:IOC:10:VHS0:CH0:VoltageMeasure
93, ebeamUndPosX
94, AMO:R14:IOC:21:VHS1:CH2:VoltageMeasure
95, AMO:R14:IOC:21:VHS1:CH0:VoltageMeasure
96, AMO:R14:IOC:21:VHS0:CH2:VoltageMeasure
97, AMO:LMP:VG:01:PRESS
98, AMO:R15:RMO:TEMP
99, LAS:FS1:VIT:CH1_CALC_PHASE_LAST_60_STD
100, LASR:IN20:475:PWRTH
