# ann_train,ann_test,lin_train,lin_test,gb_train,gb_test
2.346881926059722900e-01,2.380750179290771484e-01,2.285147553445872290e+02,2.281832466799414760e+02,1.333639526904498718e-01,2.387580818761191048e-01
2.326254248619079590e-01,2.317955940961837769e-01,1.745526677117651673e+02,1.760248633797868365e+02,1.622017695638966750e-01,2.284795583540809305e-01
2.314573824405670166e-01,2.295133173465728760e-01,2.137006360262855083e+02,2.158557499571650453e+02,1.737415107794182956e-01,2.234355945054352643e-01
2.263834923505783081e-01,2.251342833042144775e-01,3.611326223172548566e+01,3.656887231976581631e+01,1.804308999659092472e-01,2.193409099523299932e-01
2.243780791759490967e-01,2.236842960119247437e-01,7.370143948059144634e+01,7.286494442999058663e+01,1.835539634361025296e-01,2.191636670290767475e-01
2.242137491703033447e-01,2.240440994501113892e-01,1.005585837725558065e+02,1.019609843937680722e+02,1.878878116337290016e-01,2.184705230709172719e-01
2.219891995191574097e-01,2.220360934734344482e-01,2.678467049703522918e+01,2.652752031873375671e+01,1.890748514987728723e-01,2.156816157839358261e-01
2.218073755502700806e-01,2.206635177135467529e-01,1.084786618126126889e+01,1.077893016198455811e+01,1.901298297431635587e-01,2.124063644010187601e-01
2.214903533458709717e-01,2.205481678247451782e-01,2.754406395991934886e+01,2.733829254770739681e+01,1.918252837423440049e-01,2.127870105470861528e-01
2.201611101627349854e-01,2.191664278507232666e-01,1.616350320093464887e+01,1.603265709017190588e+01,1.930298092284085942e-01,2.129464084956415870e-01
