# ann_train,ann_test,lin_train,lin_test,gb_train,gb_test
5.985410213470458984e-01,6.168689727783203125e-01,7.406925881527754996e-01,7.464089894014673821e-01,3.532975834031747420e-01,6.372593653258123991e-01
6.063086390495300293e-01,6.027564406394958496e-01,1.503803382803916016e+13,1.509402845699399219e+13,4.392195293009265589e-01,6.299067040463774969e-01
6.012758612632751465e-01,5.984451770782470703e-01,7.610889026797025281e-01,7.802581986214329746e-01,4.796149981911250748e-01,6.160255929568995148e-01
6.024206280708312988e-01,5.973540544509887695e-01,1.010022015328073453e+00,1.025109815442658778e+00,4.938425491780218390e-01,6.177449461584806345e-01
5.982591509819030762e-01,5.969837903976440430e-01,7.416411622829301997e-01,7.473227918048102048e-01,5.141963764924800673e-01,6.080183549997311143e-01
5.969533324241638184e-01,5.947380661964416504e-01,1.481717497275094141e+13,1.475769094400005078e+13,5.246463223594177716e-01,6.053924051329561129e-01
5.978048443794250488e-01,5.935762524604797363e-01,6.431648172529674801e-01,6.364367470576558494e-01,5.304967023133090320e-01,6.033893760198137945e-01
5.976914167404174805e-01,5.934619903564453125e-01,5.106860503852048828e+12,5.107558659640575195e+12,5.344937724521253708e-01,5.991949184147571383e-01
6.013677120208740234e-01,5.933856368064880371e-01,9.293587751023184573e-01,9.375740769124363272e-01,5.403510932103535724e-01,6.028537386087405858e-01
6.027774214744567871e-01,5.930965542793273926e-01,2.105138188243090088e+12,2.101619287215556152e+12,5.485852487898568164e-01,6.019137769436364582e-01
